ID,Name,Surname,City,Phone,Birthdate,Origin
66138141171,Murat,AK,Ardesen,1235481257,15011995,TR
25727912644,Keriz,L,Bilecik,1235012248,15011995,TR
53783768355,Onur,D,Bilecik,7412541596,28101999,TR
73665332727,Sadik,N,Hatay,1235481257,20101999,TR
16209955171,Berfin,N,Usak,5052424540,12032005,TR
52055050891,Veli,AK,Karaman,4562486253,15122000,TR
19411857132,Abidin,M,Karaman,4562486253,20101999,TR
65793381088,Berkay,A,Adiyaman,7894521598,20032006,TR
41596383071,Onur,J,Bilecik,7845623569,15122000,TR
20116932895,Doga,Z,Adana,4562486253,15042000,TR
90966450427,Mustafa,Z,Mugla,4562486253,20101999,TR
18659881627,Abidin,M,Ordu,7412541596,20032006,TR
86994758794,Ali,F,Van,1245863254,12032005,TR
60801414728,Mustafa,I,Ordu,7875966589,15122000,TR
70012510512,Murat,A,Adiyaman,5053892871,10032005,TR
43446082842,Mustafa,J,Bilecik,4501269871,20032006,TR
67798493550,Mustafa,I,Ordu,3254789541,15011995,TR
96622636095,Anil,L,Ardesen,7875966589,15011995,TR
45921818735,Hakan,J,Antalya,5350644305,20032006,TR
61013796560,Humi,K,Istanbul,7845623569,20101999,TR
63303450225,Murat,N,Mersin,5350644305,30011995,TR
77730586922,Kerim,D,Hatay,1235481257,20032006,TR
53518858513,Ahmet,K,Düzce,1235481257,12032005,TR
82781933144,Onur,J,Usak,5052424540,28101999,TR
39743107877,Kerim,K,Istanbul,4501269871,10032005,TR
51125076204,Ali,I,Usak,1245863254,20032006,TR
37210713483,Okan,E,Istanbul,7845623569,10032005,TR
77339769241,Kerim,I,Samsun,1245863254,15042000,TR
98967211967,Semih,I,Bilecik,1245863254,12032005,TR
84389907723,Sadik,L,Izmir,5350644305,15122000,TR
14433515482,Berkay,F,Samsun,7875966589,20032006,TR
91336198188,Abidin,L,Manisa,7894521598,15122000,TR
62289957445,Veli,B,Ankara,5053892871,20101999,TR
15702341775,Okan,D,Ordu,3254789541,10032005,TR
43950449983,Mustafa,E,Rize,1245863254,15011995,TR
75037133631,Sami,M,Hatay,1232128989,10032005,TR
21822433964,Hakan,M,Mersin,4562486253,10032005,TR
99222729481,Humi,N,Adana,7845695214,10032005,TR
41124875216,Doga,AK,Mugla,1232128989,20101999,TR
20377339041,Humi,I,Istanbul,7894521598,15122000,TR
20197573040,Deniz,I,Samsun,5052424540,30011995,TR
91682149315,Ali,B,Adiyaman,0214512563,28101999,TR
10847635239,Sami,G,Antalya,5052424540,15122000,TR
95110833173,Okan,H,Istanbul,1235012248,20101999,TR
91085692194,Ali,AK,Adana,7845623569,28101999,TR
