ID,Name,Surname,City,Phone,Birthdate,Origin
23773102201,Berkay,A,Mersin,4582156325,20101999,TR
92186021729,Keriz,K,Mugla,4501269871,12032005,TR
91548652713,Doga,F,Izmir,1235481257,20032006,TR
35263317366,Anil,N,Adiyaman,1232128989,15042000,TR
49616353445,Okan,B,Mersin,5053892871,15122000,TR
94314601121,Berfin,B,Izmir,0214512563,20032006,TR
33734547631,Humi,H,Karaman,7875966589,12032005,TR
98929224947,Kerim,M,Düzce,7845623569,12032005,TR
32205704099,Sadik,E,Ankara,7894521598,12032005,TR
13842973226,Okan,F,Ordu,4562157954,15042000,TR
79817419884,Mustafa,N,Mugla,4587962157,15122000,TR
99268771436,Abidin,K,Istanbul,7894521598,15011995,TR
47937193111,Ali,D,Ordu,7894521598,15122000,TR
70519072743,Ali,N,Izmir,1235481257,20101999,TR
45229978420,Onur,H,Karaman,4582156325,10032005,TR
81994002634,Hakan,N,Rize,7412541596,15011995,TR
21871832226,Okan,E,Ardesen,5052424540,20032006,TR
30972343558,Sadik,M,Adiyaman,7412541596,22042006,TR
35330969907,Anil,L,Adiyaman,4562486253,22042006,TR
80554962950,Veli,J,Karaman,3254789541,20032006,TR
33643842343,Onur,L,Hatay,7845695214,12032005,TR
33322394217,Hakan,AK,Mersin,4562157954,20032006,TR
79200000877,Hakan,L,Manisa,3254789541,20101999,TR
32986151686,Deniz,AK,Düzce,0214512563,28101999,TR
71697690365,Keriz,D,Istanbul,5052424540,22042006,TR
22771831421,Sadik,L,Adana,5350644305,15122000,TR
52969640490,Ahmet,B,Van,4587962157,20101999,TR
94166643994,Veli,F,Istanbul,4562157954,12032005,TR
68442880377,Veli,B,Karaman,3254789541,20101999,TR
90610644245,Kerim,N,Mugla,4562157954,22042006,TR
76528650897,Veli,D,Adiyaman,5350644305,15122000,TR
55877764619,Hakan,C,Adiyaman,4501269871,22042006,TR
21806302923,Deniz,A,Manisa,7894521598,28101999,TR
26559638058,Berkay,AK,Istanbul,5350644305,15011995,TR
84561321789,Sami,Z,Ardesen,7875462358,28101999,TR
48619766393,Humi,L,Adana,5053892871,10032005,TR
48943904628,Deniz,A,Samsun,4562486253,20101999,TR
35335923677,Okan,L,Mersin,0214512563,30011995,TR
82719580719,Deniz,M,Manisa,1245863254,30011995,TR
81278048027,Okan,AK,Adana,5053892871,30011995,TR
93232945376,Veli,AK,Manisa,7875966589,15011995,TR
59055706033,Keriz,M,Adana,7845623569,28101999,TR
97621317395,Okan,K,Karaman,5052424540,28101999,TR
53367852521,Mustafa,N,Izmir,7875462358,15042000,TR
95227286896,Sadik,A,Mugla,5052424540,15122000,TR
31643124140,Hakan,M,Urfa,5053892871,15122000,TR
23163320483,Abidin,A,Adana,0214512563,30011995,TR
44787125694,Abidin,M,Adiyaman,4562486253,15011995,TR
51685892681,Sami,H,Samsun,7894521598,22042006,TR
95799095870,Anil,M,Ankara,1232128989,28101999,TR
81019342932,Berfin,B,Hatay,4562157954,30011995,TR
62324297377,Mustafa,I,Ordu,1245863254,30011995,TR
70587749316,Deniz,Z,Izmir,1235012248,12032005,TR
39729672676,Kerim,AK,Ankara,5350644305,20101999,TR
21710968139,Doga,A,Van,7875462358,10032005,TR
62073945033,Sadik,I,Urfa,7412541596,12032005,TR
43904482734,Anil,A,Bilecik,7894521598,15042000,TR
37449637087,Ahmet,Z,Mersin,4587962157,10032005,TR
38143639147,Humi,K,Adiyaman,4582156325,15042000,TR
81658783438,Humi,B,Urfa,7412541596,15042000,TR
24633907934,Kerim,J,Adana,1232128989,15122000,TR
65152343786,Deniz,H,Düzce,4582156325,15122000,TR
65400912519,Veli,H,Bilecik,1245863254,22042006,TR
40667458390,Kerim,B,Manisa,0214512563,15011995,TR
95282848927,Ali,C,Antalya,4562157954,22042006,TR
37793827960,Sami,M,Ardesen,4587962157,12032005,TR
80523784990,Sadik,I,Istanbul,0214512563,30011995,TR
34001633082,Keriz,N,Ordu,1235012248,12032005,TR
37112334804,Deniz,M,Mersin,5052424540,10032005,TR
99396766425,Humi,M,Urfa,4582156325,30011995,TR
63933000067,Kerim,M,Mersin,1235012248,15011995,TR
37428772396,Hakan,G,Manisa,7845623569,28101999,TR
93952382314,Semih,L,Düzce,4501269871,20101999,TR
47789457596,Mustafa,C,Manisa,5350644305,15011995,TR
73651558196,Keriz,K,Usak,4582156325,10032005,TR
33174290162,Sami,M,Adana,4562486253,20032006,TR
16552974409,Berfin,D,Ardesen,1245863254,15011995,TR
87423184309,Kerim,N,Samsun,7894521598,10032005,TR
59485351856,Keriz,N,Karaman,7875462358,15011995,TR
39729778051,Doga,L,Ankara,7875462358,15042000,TR
89129986139,Mustafa,N,Düzce,7894521598,28101999,TR
83460571237,Murat,G,Ankara,7845695214,15122000,TR
37618529097,Okan,F,Mersin,7845695214,12032005,TR
63525872588,Humi,K,Urfa,4562157954,22042006,TR
72227486748,Deniz,L,Adiyaman,4562157954,12032005,TR
59804530018,Anil,C,Istanbul,5052424540,15011995,TR
33902678788,Semih,F,Mersin,3254789541,10032005,TR
99447828845,Kerim,L,Düzce,7845623569,15011995,TR
62491575689,Mustafa,K,Bilecik,4562157954,10032005,TR
18386336779,Kerim,B,Adiyaman,7845695214,28101999,TR
43017781760,Sami,I,Ardesen,7875966589,28101999,TR
98955489188,Sadik,F,Rize,7845623569,20101999,TR
77155228106,Abidin,E,Ankara,4562486253,10032005,TR
71866234560,Abidin,K,Ordu,0214512563,15011995,TR
44866364123,Mustafa,M,Adana,7875462358,20101999,TR
13977399327,Semih,F,Istanbul,5350644305,10032005,TR
28100630655,Keriz,E,Mugla,1232128989,15042000,TR
42767291925,Murat,H,Ardesen,1235481257,10032005,TR
31052658015,Berkay,H,Bilecik,1235012248,15011995,TR
32002597027,Berfin,I,Düzce,1232128989,15011995,TR
